user_id,name,gender,age,user_type
00000001,杜玉,男,23,上班族
00000002,杨平,男,38,自由职业
00000003,苏刚,女,27,家庭主妇
00000004,胡丹,男,29,上班族
00000005,张秀荣,男,43,上班族
00000006,张娜,男,19,在校学生
00000007,阎刚,男,49,上班族
00000008,何玉英,女,30,上班族
00000009,郑建,男,23,上班族
00000010,王俊,女,35,其他
00000011,张春梅,女,27,上班族
00000012,郭佳,男,32,上班族
00000013,张磊,男,43,上班族
00000014,彭彬,女,22,上班族
00000015,李倩,男,42,上班族
00000016,钟静,男,36,在校学生
00000017,胡辉,男,20,在校学生
00000018,张文,女,26,上班族
00000019,李丹丹,男,23,上班族
00000020,杨颖,男,36,其他
00000021,杨涛,女,36,上班族
00000022,刘秀梅,女,39,家庭主妇
00000023,林凯,男,19,在校学生
00000024,陈坤,男,45,上班族
00000025,吴鹏,男,43,自由职业
00000026,张平,男,48,上班族
00000027,徐雷,女,34,上班族
00000028,张东,男,50,上班族
00000029,孙秀华,男,35,上班族
00000030,何畅,男,32,自由职业
00000031,蒋宁,男,49,上班族
00000032,李彬,男,29,上班族
00000033,沈倩,男,44,上班族
00000034,潘春梅,男,38,自由职业
00000035,陈龙,女,26,在校学生
00000036,杨玉梅,男,31,上班族
00000037,黄超,女,32,上班族
00000038,黄成,男,32,上班族
00000039,李秀梅,男,33,上班族
00000040,丁倩,女,35,上班族
00000041,朱莹,女,18,在校学生
00000042,曾秀荣,男,34,在校学生
00000043,梅红,女,26,上班族
00000044,王畅,女,32,在校学生
00000045,鞠琴,男,38,上班族
00000046,邓金凤,女,31,上班族
00000047,揭丽丽,男,26,上班族
00000048,李璐,女,43,上班族
00000049,裴想,男,30,上班族
00000050,杨丽华,男,44,上班族
00000051,杨桂花,女,32,在校学生
00000052,雷玉梅,女,29,家庭主妇
00000053,古兰英,女,36,家庭主妇
00000054,刘玉华,男,33,上班族
00000055,刘杨,女,29,上班族
00000056,高瑞,女,36,上班族
00000057,卢林,女,29,自由职业
00000058,唐英,女,30,上班族
00000059,许冬梅,男,47,自由职业
00000060,邓旭,女,25,上班族
00000061,蔡欢,女,33,家庭主妇
00000062,王晶,男,43,上班族
00000063,李林,男,36,上班族
00000064,郭凤英,女,22,在校学生
00000065,刘桂兰,女,25,上班族
00000066,葛岩,女,22,上班族
00000067,田玉,女,25,上班族
00000068,胡利,男,36,上班族
00000069,陆鹏,女,39,上班族
00000070,朱军,女,30,上班族
00000071,李彬,女,20,在校学生
